TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
JSONP injected script still did not invoke callback,39738,1,0,0,8
Invalid preserveQueryParams migration with v11,39755,0,3,1,1
Custom decorators not working again,39758,0,0,0,5
Having a div tag inside a p tag breaks compilator,39762,1,0,0,2
CANNOT get host component from directive using `ContentChildren` (or `ContentChild`) when IVY is ON,39756,0,0,0,2
ng i18n --ivy does not extract correctly HTML message with interpolation,39241,1,0,0,23
Special character rendering mistake,38662,0,3,1,1
Service worker doesn't check update on each navigation request,39652,0,0,0,9
Angular v10/v11 are missing from releases dropdown,39688,1,6,1,5
API docs are missing for HttpParamsOptions,20276,0,15,1,18
The [disabled] binding does not work for multiple radio inputs,18206,0,2,0,7
Add toggleClass to Renderer2,16538,0,3,0,10
Error: No Provider for Renderer 2! ,17824,0,1,0,22
Support `prependChild` in Renderer2,18645,0,1,0,2
setDisabledState() never called when receiving disabled state from master fieldset,13856,0,0,0,13
FormControl does not reflect the new disabled value,17806,0,2,0,7
JSONP call fails in Internet Explorer 11 and Google Maps API,39496,1,2,1,5
Async in unit tests does not handle unresolved promises,20827,0,0,1,20
Error message when omitting a host component from TestBed.configureTestingModule isn't helpful,17477,0,0,0,12
Angular TestBed memory leak,24048,0,0,0,13
Pipe translate not working building with ivy,39644,0,0,0,5
"Primary route triggers change when auxiliary route is triggered on ""/""",21966,0,0,0,7
Childrouting inside auxiliary outlet works only in very specific cases,26672,0,0,0,5
Cannot redirects to child aux routes,27215,1,0,0,4
@angular/forms ngModel bug,39687,1,0,0,6
ngFor over functions causes type error with Ivy,39634,1,5,1,7
Error navigating to secondary router-outlet from lazy loaded module,39650,0,0,0,2
Lazy loaded module in named outlet throws error,39692,1,0,0,2
Cannot extend DatePipe after upgrade to Angular 11,39691,0,0,0,3
Broken external link,39106,0,5,0,5
angular upgrade website doesnt have the material upgrade command,39663,1,5,1,3
angular build not working properly with flexLayout or angular Material,39673,1,0,0,2
Compilation breaks after update to 11 `Duplicate identifier`,39660,1,0,0,2
Dynamic Component not insert into shadowDOM,39556,0,6,1,5
SwUpdate doesn't check update  on each navigation request in chrome,39653,0,0,0,3
[Ivy] [style] binding breaking backwards compability changes,35323,0,9,1,3
[4.0.0] bug(compiler-cli): Cannot use JitCompiler with AoT,15510,0,0,0,99
optimization: true breaks transitiveCompileScopes for jit compiled components,37216,0,0,0,9
When built with optimization compileModuleAndAllComponentsSync returns an empty list of component factories,36255,0,0,0,8
DatePipe: First day of week not changing corresponding to set locale in i18n,25380,0,7,0,13
Extractor no longer extracts the parameter/expression of the interpolated string into disp attribute,38711,0,5,0,21
[i18n] Interpolated text within tags is not rendered,37281,0,0,1,5
Angular/elements OnPush input changes does not trigger change detection,38948,0,11,0,3
SkipSelf annotation to get parent component Injector no longer working in Ivy (Angular 9 rc.9),34819,0,0,1,12
In Ivy  SkipSelf() is not accessing the parent's ViewContainerRef  ElementRef  etc,34066,0,14,0,4
Angular Non AOT compiler doesn't emit class decorators in specific cases,39574,0,5,0,6
queueMicrotask() not patched in zone.js,38863,0,9,1,1
Zone.js globalZoneAwareCallback on click page or resize windows ,37415,1,0,1,27
ASSERTION ERROR trying to render a component with its factory coming from an Angular Element,38592,1,0,0,6
Chaining Http requests catch only on first one,39530,0,0,0,17
Update Support policy and schedule for angular 11,39559,0,0,0,5
Unable to detect 304 status code of response using http client,39558,0,0,0,4
Button inside mat-tab is bugged,39564,1,0,0,2
Support safe navigation operator when using string literal to access object properties in templates,39565,0,0,0,2
ngcc deep import warnings for generated types,39552,0,0,0,5
Angular 2 relative pathing from siblings doesn't work,14480,0,0,0,2
Impossible to generate the correct route for an auxiliary route.,13589,0,0,0,7
Can't activate component in nested secondary outlet using RouterLink,28589,1,0,0,6
Angular 9 bazel build failure,32790,0,0,0,9
[Angular 10.1.2] Error:Unexpected value 'LibraryModule in[..] imported by module.ts. Please add a @ngModule.annonation.,38893,1,0,0,8
Error creating application with @angular/bazel,33710,1,0,0,12
Incorrect error message: `Could not resolve /my/missing/import relative to [object Object]`,30832,0,0,0,5
@angular/bazel not working in new angular 9 project,35740,0,0,0,9
Uncaught issue in compiler: TypeError: undefined is not iterable (cannot read property Symbol(Symbol.iterator)),36341,0,0,0,3
[Angular 10] Mat Dialog throws error after production deployment,38436,1,0,0,15
ForwardRef example in documentation is outdated,39447,0,0,0,3
Perfomance issue on module init for big apps caused by registerNgModuleType function.,39487,0,6,0,4
NetworkError at XMLHttpRequest.send when I using Angular Universal. ,39526,0,0,0,2
The keyvalue pipe does not work correctly with types. (Since v11-next.4),39533,1,0,0,3
Missing pipe not caught by production build with AOT,38195,0,5,0,4
Invalid X-XSRF-Token,39020,1,0,0,7
routerLinkActive throwing error when there's no route match,39488,0,0,0,4
RouterLink does not cooperate with attribute directive to open in new tab,39493,0,0,0,2
@angular/elements behaviour nested component service injection different,30910,0,0,0,5
`ng_module` with `--define=compile=aot` fails outside this repository,28182,1,0,1,5
bug(compiler): this.$event and this.$any() should not be allowed in template,30278,1,5,1,1
Compiling sass with bazel,31362,0,0,0,7
Bazel and 9.0.0-next.7 breaks builds,32766,1,0,0,5
bazel:  lazy loading of angular libraries is failing.,31850,1,0,0,2
Incremental `yarn bazel build //src:prodapp` time is not consistent.,30456,0,0,0,7
Change Detection Not Working with Routing in Zone-Less Application,39296,0,8,1,2
Can't serve a fresh angular app with bazel installed,32468,1,0,0,2
bazel ngc maximum call stack size exceeded,32612,0,0,0,2
ng add @angular/bazel fails with Property 'serve' does not exist in JSON object,33246,1,0,0,5
ng add @angular/bazel: styles fail to compile,31619,1,0,0,4
ng add @angular/bazel: build fail on peer dependencies,31617,1,0,0,5
creating new app with @angular/bazel collection produces error due to import of non existing ngfactory file,30779,1,0,0,5
first ngc after add @angular/bazel throw error and pollute console on windows 10,30348,0,0,1,4
Not possible to insert dynamic components for root components,39499,0,0,1,3
@SkipSelf() cd: ChangeDetectorRef doesn't return parent ChangeDetector,39475,0,0,0,3
Recursive components fail on recompilation,39458,1,0,0,5
Docs: where you can use template variables,31186,0,12,1,4
build: support gcc on macOS,32910,0,0,0,4
Issue with ivy removing html nodes when an object tree is updated and the nodes are defined by the object tree,38239,1,0,0,6
Allow using hgroup tag in Angular templates,38831,0,0,0,5
Components with non-empty HTML input field not released in memory,37952,0,0,0,11
lazy loading  service worker and performance,37406,0,0,0,8
Unable to set css varbiale while server side rendering,36137,0,0,0,6
Radio buttons not applying attr.name when using [name] binding,39460,0,0,0,2
Input elements missing 'name' attribute inside the output of ngFor,19320,0,4,0,2
